"","year","area","MB","temp","precip"
"69",2058,1946897.96863216,0.654141021515331,-3.87961399093984,2.57255284581462
"70",2059,1929081.33768464,-0.31029844731907,-3.6315851756573,2.28578715482765
"71",2060,1938425.18665472,0.130186083549185,-3.05288482972722,1.83300358809647
"72",2061,1966422.88537812,0.576285022722186,-2.73741767421807,2.47954207635189
"73",2062,1917492.79692118,-1.2137980663087,-4.53420429454375,1.73839433944756
"74",2063,1868350.40077656,-1.25212263240746,-1.89365170063322,2.47675266302598
"75",2064,1861255.97795837,-0.0924248774380085,-2.21400011977165,2.51390632803081
"76",2065,1814054.31202377,-1.22116924733142,-3.0123707972169,1.86771602998714
"77",2066,1789073.90194164,-0.527333207610618,-3.82960884893695,2.20284154693388
"78",2067,1771947.20314305,-0.320013203320666,-2.59195634465613,2.44059502017199
"79",2068,1741357.16818243,-0.711111965272068,-2.32741773471895,2.18012609625559
"80",2069,1721718.16074822,-0.396054278238274,-1.32336051062517,2.21796653081452
"81",2070,1724153.98682387,0.0234356430152925,-2.2017700452929,2.28565457636758
"82",2071,1703560.93807498,-0.426662064033003,-2.5321709877426,2.35940128872705
"83",2072,1701806.91434767,-0.0151541142657266,-2.2690426800556,2.29278923598295
"84",2073,1678860.53086692,-0.500796277953326,-2.52724519820521,2.08211161509806
"85",2074,1651728.38094785,-0.637564171974779,-2.21384305002855,2.18815806420146
"86",2075,1669970.34965089,0.377675566586736,-2.45755939708281,2.69875391027088
"87",2076,1691346.45551321,0.463440649609752,-4.8249985878563,2.09639304226249
"88",2077,1662890.32800321,-0.675221881825663,-3.62820810283828,2.16112125915593
"89",2078,1668225.87280457,0.0704854572080874,-3.03467819490763,1.98947941599514
"90",2079,1645321.70755248,-0.509599302158117,-3.15312506756655,2.17827168879892
"91",2080,1676182.25833615,0.775065074623069,-2.40613568958514,2.53134439107095
"92",2081,1678692.61282062,0.0250794744409156,-1.81775636597118,2.19221105257816
"93",2082,1731393.69906045,1.57290839873786,-2.10685678210262,3.01840841029324
"94",2083,1759497.9767661,0.648536867643793,-3.82021825570868,2.30978462413946
"95",2084,1749195.09740982,-0.163017768453704,-4.34725499889521,1.68289608024592
"96",2085,1793525.71292497,1.19310554473878,-2.47932105223046,2.67760213338538
"97",2086,1760770.33775293,-0.771039627040247,-1.57092199942122,2.4731455126213
"98",2087,1772339.59433382,0.19071844737642,-2.89867104794166,2.26646062573423
"99",2088,1770247.00289633,-0.018517566115986,-2.56025411220866,2.39770397346883
"100",2089,1720556.06948861,-1.37690210108504,-2.18525671283763,1.91757516807839
"101",2090,1707928.77378798,-0.219843306326789,-3.30555752756762,1.85890788627276
"102",2091,1710696.7700692,0.0281109373926364,-2.44409742449345,2.48361023211361
"103",2092,1699823.19276609,-0.180423661296185,-4.22953189024726,2.26235388274557
"104",2093,1734993.4714383,0.896180212056823,-3.91638596828878,2.60090636097181
"105",2094,1696570.78963211,-0.990242112949623,-2.32474217312894,2.16882398358925
"106",2095,1668138.7136606,-0.672368983409616,-2.66450561591308,2.14462503953983
"107",2096,1638898.40288274,-0.710400628531102,-2.70134844573158,1.99784157800497
"108",2097,1633544.94721831,-0.0718439983224678,-4.517685900383,1.86323221121559
"109",2098,1591816.35324662,-1.17668119667445,-2.85812309437519,2.17271044863885
"110",2099,1567703.36909891,-0.572754281602171,-4.02967586219412,1.9174487177371
"111",2100,1497224.52364361,-2.50089841103844,-1.73823905281109,1.65680491854585
