z_m,area_m2
25,0
75,0
125,0
175,0
225,0
275,0
325,0
375,0
425,0
475,0
525,0
575,0
625,0
675,0
725,0
775,0
825,0
875,0
925,0
975,0
1025,0
1075,0
1125,6810
1175,47670
1225,119175
1275,255375
1325,354120
1375,762720
1425,313260
1475,255375
1525,309855
1575,480105
1625,306450
1675,149820
1725,37455
1775,6810
1825,0
1875,0
1925,0
1975,0
2025,0
2075,0
2125,0
2175,0
2225,0
2275,0
2325,0
2375,0
2425,0
2475,0
