"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"23",3003307.69413507,3080439.46762602,3143466.97333682,2983109.80097183,2885220.38612866,3231201.19606475,3021346.85871936,3154438.01917233,2828110.77169717,2921418.04163942,3033850.95287634,3286372.17728391,3101940.17423303,3116191.69605278,3138549.85715898,3012585.87594039,3089922.40517524,3285771.76009174,2928684.67263739,3537494.16582449,2974497.01768598,3083560.86599479,3504605.08879175,3166025.35369915,3202489.42702504
"24",2925806.95933327,3003812.46483882,3071972.73224559,2909459.51163723,2812554.27034816,3161737.06739873,2948381.10125194,3081336.5092384,2756171.96249404,2846420.54383458,2960915.14219943,3217582.16953627,3023998.01247628,3039637.93045172,3069267.54431041,2930420.93884704,3012629.19091227,3216993.71521228,2844798.78556928,3477087.71233705,2896204.00550784,3004625.45825159,3442893.2965668,3092549.31018458,3133570.07664462
"25",2840986.00213568,2918742.71573701,2993035.51978323,2823282.45119447,2728805.55087008,3082746.38980097,2865686.98540683,2999550.47588155,2674598.52641824,2760713.26593585,2876665.96696524,3139667.69759764,2941299.66791187,2951311.98503112,2982918.80364418,2843242.35767138,2931459.21114157,3142306.62234866,2760205.66441242,3409708.0065851,2808688.97620449,2921351.34894502,3370835.53763718,3012473.21120958,3047201.88888778
"26",2799702.2980281,2880835.5906157,2959240.27149635,2783934.65141381,2689908.86288774,3051385.78100215,2828935.4758173,2965228.54157042,2638136.27580042,2724817.21055296,2837840.70828758,3109113.25584239,2903881.2741461,2915247.19320699,2949694.85753912,2801483.64127694,2895223.63759144,3115602.05223477,2719938.76477787,3388426.51227499,2768305.16046728,2883919.37272943,3347071.63721156,2975993.31481693,3012993.4139744
"27",2851905.85812906,2932084.19626791,3014518.62641011,2833161.38757636,2736607.85273266,3107270.99807393,2878259.04316059,3017635.69246857,2684243.41001635,2770083.06936909,2889475.95492258,3165512.00742396,2958356.41245749,2965871.34246256,2998621.85329165,2853978.55458698,2951578.6562119,3173159.89072233,2772873.92602062,3455689.6426219,2817541.11737613,2935295.0988461,3411653.1876725,3034522.49357475,3065914.22722829
"28",2879241.2805231,2959461.17104064,3044226.95433523,2853442.40200583,2756193.76254714,3137990.1032015,2901795.30373882,3044667.09677039,2706995.29984278,2794458.37927511,2912227.82606915,3196646.30516906,2989807.93323493,2992645.83271336,3020989.38809695,2884900.98853265,2989136.5490726,3208814.33386641,2806777.32648728,3493465.71301299,2841174.66343556,2963716.27916466,3446535.23188582,3070447.15591098,3090056.1178266
"29",2849786.72270451,2929837.22238155,3017386.72272609,2819080.58634223,2722142.30225952,3110797.64459005,2870368.44276673,3016669.75509447,2676134.30007617,2763874.06320217,2879320.09252185,3170707.05162542,2962580.41217286,2961911.58653825,2987404.77091045,2856117.53815443,2967735.45264243,3189421.27777446,2780644.97234969,3478229.07738799,2808411.48954667,2937263.26151754,3427519.45421977,3047527.88834829,3056896.42306555
"30",2902338.27210478,2983350.75927715,3070235.91863902,2867478.35111964,2767666.73382003,3165052.2931314,2919603.85999079,3070237.44883738,2721937.88605165,2814688.60046879,2928416.17852625,3226235.82175556,3019722.66301997,3019254.32934841,3039305.58386814,2914025.34608648,3024410.93298475,3247749.29964028,2837424.93518449,3538142.6260251,2859561.92505188,2993449.96667254,3486757.65614939,3104483.91095992,3109906.3928122
"31",2851339.72832809,2931283.05522203,3023626.39411893,2813531.81957103,2714575.80388498,3116259.63350211,2868712.41519885,3020373.08547372,2672281.85150534,2762294.34298877,2876303.61412927,3178610.02658106,2973914.4208478,2964869.34585627,2983470.08683768,2866919.68459986,2980822.20103294,3206102.00092262,2794752.65137488,3501272.46290481,2807005.4536493,2945160.05068668,3444919.78114607,3061460.0718363,3054426.90634512
"32",2889700.3158989,2971110.06000401,3061640.15710748,2851599.75509321,2748939.29604167,3157751.80104109,2905549.43280298,3060763.11980654,2705267.33286637,2799754.79997994,2913991.74823673,3221006.03416945,3013995.18177283,3008016.73036518,3025850.3859864,2906729.71252169,3019774.88864536,3247267.26729959,2833482.86074938,3547396.77526212,2845552.7810931,2985102.11199394,3492001.9207403,3101115.19926351,3097941.02218779
